Filter;BeforeTime;AfterTime;BeforeMemory;AfterMemory;DiffTime;DiffMemory
RecordSwitch-0;18585778152151;18586020473113;13841032;13843032;242320962;0
TEntryCall-0;18585858964301;18585939389874;13526720;13527208;80425573;0
RecordSwitch-0;18586102810089;18586344467712;13842528;13844680;241657623;0
TEntryCall-0;18586182859622;18586263640165;13528368;13528880;80780543;0
RecordSwitch-0;18586425537174;18586974721434;13843400;14185640;549184260;0
TEntryCall-0;18586505574551;18586890856795;13529864;13865480;385282244;0
TEntryCallSequence-0;18586586151270;;13531176;;;
TEntryEventSequence-0;18586666233221;18586808505232;13532680;15135824;142272011;0
RecordSwitch-0;18587059656652;18587306102303;13865320;13860800;246445651;0
TEntryCall-0;18587141433620;18587221830423;13544488;13544976;80396803;0
RecordSwitch-0;18587394773610;18587638820384;13861288;13862992;244046774;0
TEntryCall-0;18587475367348;18587557343276;13546680;13547192;81975928;0
RecordSwitch-0;18587734587421;18588296707380;13863480;13875456;562119959;0
TEntryCall-0;18587816996525;18588212152254;13549008;13875016;395155729;0
TEntryCallSequence-0;18587898746749;;13549664;;;
TEntryEventSequence-0;18587979384655;18588129694524;13550128;15154952;150309869;0
RecordSwitch-0;18588379454839;18588626281393;13875944;13873256;246826554;0
TEntryCall-0;18588460940051;18588542001408;13561632;13557432;81061357;0
RecordSwitch-0;18588715482315;18588963924464;13873744;13876256;248442149;0
TEntryCall-0;18588798755339;18588880454100;13560456;13560456;81698761;0
RecordSwitch-0;18589049263277;18589672559041;13876744;13885928;623295764;0
TEntryCall-0;18589133038363;18589567903600;13563456;14217448;434865237;0
TEntryCallSequence-0;18589213327784;;13563736;;;
TEntryEventSequence-0;18589294031336;18589462028055;13564200;15168392;167996719;0
RecordSwitch-0;18589801799319;18590329141242;13886416;13887352;527341923;0
TEntryCall-0;18589976801811;18590142540264;13572104;13572592;165738453;0
RecordSwitch-0;18590498452481;18590903084987;13887840;13889440;404632506;0
TEntryCall-0;18590638042370;18590765094484;13573680;13574192;127052114;0
RecordSwitch-0;18591019889603;18591619477822;13889928;13910920;599588219;0
TEntryCall-0;18591109651344;18591536871378;13575768;13910504;427220034;0
TEntryCallSequence-0;18591199644869;;13576424;;;
TEntryEventSequence-0;18591279643750;18591444297846;13576400;15502096;164654096;0
RecordSwitch-0;18591720730668;18591965403501;13904296;13906296;244672833;0
TEntryCall-0;18591803100466;18591883393534;13589984;13590472;80293068;0
