SSE;MC
124.24769473164761;11.0375
159.92185619173;10.5125
104.49436609957594;10.4625
133.76826740347408;9.4
145.7376880428477;10.7875
141.18428354365128;11.450000000000001
88.95916768254172;10.875
122.9181931005759;10.549999999999999
168.06212197262016;10.2875
148.50849942948128;11.225
117.66097146148032;10.9
119.66554509876725;10.3875
97.66137105946417;10.9125
146.8645724241971;10.674999999999999
125.60651450843626;10.2625
142.60892504928495;10.174999999999999
160.93792632450285;10.925
127.95463936211156;10.775
154.97479815013932;10.6625
138.25152318331232;10.5
173.60054048691737;10.6625
144.6860650422236;10.525
159.5427537291266;10.75
162.38465541792456;10.525
140.07591065646565;11.600000000000001
137.6703056469495;10.925
147.05161073894703;10.4
127.96943289080217;10.5625
140.789105898594;11.05
145.35668041794716;11.0375
136.73203063065668;10.625
123.2601967755345;10.7375
121.01884152786506;10.424999999999999
105.57194722679002;10.8375
122.55118664799765;11.25
137.83573356128736;11.5
137.90643976825336;11.1125
102.11289642855402;11.262500000000001
141.17263875650852;11.2875
118.05868633650852;10.475
134.6372569371571;10.825
131.19372978781;10.325
121.10845855582583;10.575
159.34805034952205;10.725
121.72160279851416;10.35
126.66973003049621;10.7625
136.58979332925986;10.2625
147.07952493045573;11.225
151.5742214842833;10.612499999999999
129.04680033838383;11.1
152.70427142230014;10.325
132.65964425562152;10.8125
128.61873308747735;10.85
156.7453268265649;10.4
145.28386265317206;10.375
146.33141978547135;10.475
180.56225278127346;10.475
151.5277317946675;10.925
136.08562030312572;10.7875
135.77315473466925;10.125
151.14217173846396;11.025
131.85170591043882;10.6875
152.4903329658983;11.0375
173.06379053673848;10.7125
173.02436434312312;10.95
133.3091495665679;11.525
134.76325757004247;10.6375
113.45021267307196;10.5125
117.52550564741209;10.4125
149.44760802364695;10.8
128.7875292596977;11.025
94.94089783241562;10.35
116.41281939271705;10.3875
137.337541399639;10.612499999999999
159.84135761691232;11.075
127.6356993436137;10.35
140.2912179579237;11.375
149.57284879374038;10.925
150.7205412981012;10.35
157.16141587682293;10.5875
109.15312041904166;10.775
146.33664490003886;10.362499999999999
137.98656531937866;10.7875
157.74497022914187;11.262500000000001
156.05959176477396;11.262500000000001
134.6537020605695;10.4
103.67331394080703;10.674999999999999
147.03964728429995;10.8875
146.41295310970048;11.35
138.92861967865124;10.212499999999999
140.183744723305;10.6375
164.86335633810776;10.875
126.56941353698991;11.0875
149.37928545205764;11.200000000000001
135.57175853128442;10.875
125.14521562810663;10.237499999999999
119.82420124706333;11.275
155.28816279978636;10.7875
151.28360364491897;10.8875
146.50676439837162;10.125
average
138.05972372345133;10.739250000000004
