UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;883;3117;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;841;3159;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;837;3163;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;752;3248;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;863;3137;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;916;3084;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;870;3130;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;844;3156;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;823;3177;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;898;3102;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;872;3128;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;831;3169;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;873;3127;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;854;3146;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;821;3179;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;814;3186;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;874;3126;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;862;3138;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;853;3147;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;840;3160;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;853;3147;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;842;3158;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;860;3140;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;842;3158;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;928;3072;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;874;3126;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;832;3168;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;845;3155;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;884;3116;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;883;3117;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;0;0;2000;
SKM;50%;850;3150;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;859;3141;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;834;3166;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;867;3133;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;900;3100;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;25%;0;2000;0;0;
SKM;50%;0;0;920;3080;
